USER_ID,Predictions
918,Democrat
924,Republican
932,Republican
947,Democrat
948,Democrat
951,Republican
958,Republican
963,Democrat
965,Republican
969,Democrat
973,Democrat
975,Democrat
983,Democrat
1002,Republican
1015,Republican
1019,Democrat
1020,Republican
1029,Republican
1030,Republican
1032,Republican
1037,Democrat
1048,Democrat
1050,Republican
1053,Republican
1056,Republican
1057,Democrat
1062,Democrat
1067,Republican
1071,Republican
1073,Republican
1076,Republican
1079,Republican
1081,Republican
1083,Republican
1084,Republican
1085,Republican
1087,Democrat
1092,Democrat
1114,Republican
1117,Republican
1124,Republican
1129,Republican
1133,Republican
1148,Democrat
1151,Democrat
1154,Democrat
1157,Republican
1158,Republican
1162,Republican
1166,Republican
1167,Democrat
1171,Democrat
1177,Republican
1179,Republican
1191,Democrat
1199,Republican
1200,Republican
1206,Democrat
1208,Democrat
1209,Republican
1215,Republican
1218,Democrat
1219,Republican
1221,Republican
1222,Republican
1234,Republican
1246,Republican
1256,Republican
1259,Republican
1262,Republican
1266,Democrat
1284,Republican
1288,Democrat
1298,Republican
1301,Democrat
1312,Democrat
1315,Democrat
1316,Republican
1322,Democrat
1328,Democrat
1334,Republican
1342,Democrat
1344,Republican
1362,Democrat
1364,Republican
1367,Republican
1371,Republican
1374,Democrat
1381,Republican
1383,Republican
1402,Democrat
1409,Democrat
1416,Democrat
1421,Republican
1427,Republican
1429,Democrat
1431,Democrat
1440,Democrat
1442,Republican
1446,Republican
1451,Republican
1452,Republican
1464,Democrat
1472,Republican
1473,Democrat
1474,Republican
1484,Republican
1490,Republican
1497,Republican
1499,Republican
1503,Republican
1511,Democrat
1516,Republican
1521,Democrat
1522,Democrat
1523,Republican
1529,Republican
1536,Republican
1540,Republican
1545,Democrat
1548,Democrat
1552,Democrat
1557,Republican
1558,Democrat
1559,Republican
1565,Democrat
1576,Republican
1581,Republican
1592,Democrat
1594,Republican
1600,Republican
1604,Democrat
1613,Republican
1615,Republican
1617,Republican
1619,Republican
1620,Democrat
1624,Republican
1629,Democrat
1630,Republican
1637,Republican
1643,Democrat
1645,Democrat
1649,Democrat
1654,Republican
1668,Democrat
1680,Republican
1681,Democrat
1683,Republican
1684,Republican
1688,Republican
1689,Democrat
1691,Democrat
1692,Republican
1693,Republican
1696,Democrat
1702,Democrat
1706,Republican
1708,Democrat
1719,Republican
1723,Democrat
1731,Republican
1734,Democrat
1736,Democrat
1748,Democrat
1750,Republican
1751,Republican
1757,Democrat
1763,Democrat
1766,Republican
1767,Democrat
1776,Democrat
1782,Republican
1790,Republican
1812,Democrat
1816,Republican
1819,Republican
1824,Republican
1831,Republican
1841,Democrat
1857,Democrat
1858,Republican
1860,Republican
1873,Republican
1876,Republican
1878,Republican
1882,Republican
1884,Republican
1890,Democrat
1905,Democrat
1906,Republican
1913,Republican
1918,Republican
1921,Democrat
1925,Republican
1936,Democrat
1940,Republican
1941,Republican
1947,Democrat
1948,Democrat
1959,Republican
1963,Republican
1966,Republican
1968,Republican
1975,Republican
1978,Republican
1982,Republican
1995,Democrat
1999,Republican
2002,Republican
2014,Democrat
2028,Republican
2031,Republican
2034,Democrat
2036,Republican
2037,Democrat
2040,Republican
2041,Republican
2042,Republican
2043,Republican
2056,Democrat
2058,Democrat
2064,Democrat
2069,Democrat
2080,Democrat
2083,Democrat
2087,Republican
2093,Democrat
2100,Republican
2109,Republican
2113,Democrat
2116,Democrat
2120,Republican
2124,Republican
2127,Democrat
2133,Democrat
2135,Republican
2137,Democrat
2141,Democrat
2149,Republican
2160,Republican
2162,Democrat
2163,Democrat
2165,Democrat
2166,Democrat
2178,Republican
2180,Democrat
2185,Republican
2187,Republican
2197,Republican
2206,Republican
2216,Republican
2220,Republican
2224,Democrat
2234,Democrat
2235,Democrat
2241,Democrat
2248,Republican
2259,Democrat
2262,Democrat
2274,Democrat
2275,Democrat
2298,Republican
2304,Republican
2307,Democrat
2309,Democrat
2312,Democrat
2324,Republican
2335,Democrat
2336,Democrat
2338,Democrat
2348,Democrat
2350,Democrat
2353,Democrat
2356,Republican
2362,Republican
2374,Democrat
2377,Republican
2378,Republican
2379,Democrat
2386,Democrat
2390,Republican
2398,Republican
2402,Democrat
2405,Republican
2406,Republican
2409,Republican
2410,Republican
2413,Democrat
2416,Republican
2419,Democrat
2427,Republican
2430,Republican
2434,Democrat
2435,Democrat
2452,Democrat
2454,Republican
2456,Democrat
2458,Democrat
2462,Democrat
2470,Democrat
2472,Republican
2473,Democrat
2487,Republican
2488,Republican
2493,Republican
2496,Republican
2499,Democrat
2500,Democrat
2501,Democrat
2502,Republican
2504,Republican
2505,Republican
2510,Republican
2514,Republican
2519,Democrat
2531,Republican
2535,Republican
2537,Republican
2539,Republican
2540,Republican
2547,Democrat
2548,Democrat
2551,Republican
2552,Republican
2555,Republican
2564,Democrat
2568,Democrat
2569,Democrat
2572,Republican
2584,Republican
2585,Republican
2596,Democrat
2599,Republican
2600,Democrat
2602,Republican
2607,Democrat
2616,Democrat
2617,Republican
2628,Republican
2630,Democrat
2633,Democrat
2636,Republican
2642,Democrat
2648,Republican
2651,Republican
2653,Republican
2656,Democrat
2669,Democrat
2679,Democrat
2681,Democrat
2682,Republican
2683,Republican
2684,Republican
2685,Republican
2695,Democrat
2701,Democrat
2702,Republican
2709,Democrat
2713,Republican
2715,Democrat
2728,Republican
2733,Democrat
2738,Republican
2746,Democrat
2748,Republican
2752,Republican
2753,Republican
2758,Democrat
2772,Democrat
2800,Democrat
2801,Republican
2802,Democrat
2805,Democrat
2814,Republican
2816,Democrat
2827,Democrat
2831,Republican
2832,Democrat
2845,Democrat
2849,Republican
2856,Democrat
2861,Democrat
2862,Republican
2869,Republican
2880,Republican
2881,Democrat
2884,Democrat
2887,Republican
2895,Republican
2897,Democrat
2898,Democrat
2903,Democrat
2904,Democrat
2906,Republican
2911,Democrat
2913,Democrat
2916,Republican
2922,Republican
2930,Democrat
2933,Democrat
2938,Republican
2944,Republican
2945,Democrat
2948,Democrat
2950,Republican
2958,Democrat
2965,Republican
2966,Republican
2970,Republican
2973,Democrat
2978,Republican
2981,Republican
2982,Republican
2983,Democrat
2985,Republican
2989,Republican
2990,Republican
3003,Republican
3020,Republican
3022,Republican
3035,Republican
3039,Republican
3042,Democrat
3045,Democrat
3049,Republican
3058,Democrat
3061,Republican
3064,Democrat
3073,Republican
3074,Democrat
3077,Democrat
3091,Democrat
3096,Democrat
3100,Republican
3101,Republican
3107,Republican
3124,Democrat
3129,Democrat
3138,Republican
3139,Democrat
3161,Republican
3164,Democrat
3166,Democrat
3170,Democrat
3172,Republican
3174,Democrat
3183,Republican
3192,Republican
3197,Democrat
3201,Republican
3202,Republican
3214,Democrat
3223,Democrat
3227,Republican
3230,Republican
3237,Republican
3245,Republican
3248,Republican
3249,Democrat
3253,Democrat
3254,Republican
3267,Democrat
3271,Democrat
3277,Republican
3292,Republican
3293,Democrat
3298,Republican
3302,Democrat
3304,Republican
3310,Republican
3311,Republican
3313,Republican
3317,Republican
3322,Democrat
3326,Republican
3334,Republican
3335,Democrat
3343,Democrat
3347,Democrat
3353,Republican
3357,Republican
3359,Democrat
3368,Democrat
3369,Republican
3372,Republican
3376,Republican
3382,Republican
3392,Democrat
3394,Republican
3395,Republican
3412,Republican
3416,Democrat
3424,Republican
3428,Republican
3446,Democrat
3451,Democrat
3454,Republican
3455,Democrat
3465,Democrat
3466,Democrat
3480,Democrat
3484,Republican
3486,Republican
3490,Republican
3492,Republican
3496,Democrat
3497,Democrat
3505,Republican
3511,Republican
3513,Republican
3515,Democrat
3516,Democrat
3517,Democrat
3519,Republican
3520,Republican
3521,Republican
3535,Republican
3537,Democrat
3543,Republican
3550,Republican
3552,Democrat
3554,Democrat
3560,Republican
3563,Republican
3572,Republican
3574,Democrat
3580,Republican
3583,Republican
3586,Democrat
3588,Republican
3590,Republican
3598,Democrat
3607,Republican
3613,Republican
3623,Republican
3631,Republican
3639,Democrat
3654,Republican
3656,Democrat
3663,Republican
3673,Republican
3681,Republican
3683,Democrat
3687,Democrat
3688,Republican
3690,Republican
3691,Democrat
3693,Republican
3703,Democrat
3710,Democrat
3713,Republican
3718,Republican
3719,Democrat
3720,Republican
3727,Republican
3728,Republican
3734,Republican
3742,Democrat
3749,Republican
3753,Republican
3760,Democrat
3762,Democrat
3768,Democrat
3770,Democrat
3781,Democrat
3783,Democrat
3789,Republican
3790,Democrat
3791,Democrat
3800,Republican
3801,Republican
3808,Republican
3810,Republican
3817,Republican
3819,Democrat
3827,Democrat
3829,Republican
3833,Republican
3836,Democrat
3842,Democrat
3843,Democrat
3845,Democrat
3848,Democrat
3853,Democrat
3856,Republican
3857,Republican
3870,Democrat
3877,Republican
3886,Republican
3891,Republican
3896,Democrat
3899,Republican
3900,Republican
3910,Democrat
3911,Republican
3913,Republican
3914,Republican
3915,Democrat
3923,Democrat
3927,Republican
3930,Democrat
3932,Democrat
3933,Republican
3937,Republican
3938,Democrat
3960,Republican
3962,Democrat
3964,Democrat
3968,Democrat
3971,Republican
3975,Republican
4013,Democrat
4015,Republican
4034,Republican
4040,Democrat
4057,Democrat
4058,Republican
4060,Republican
4062,Democrat
4064,Democrat
4065,Republican
4069,Republican
4077,Democrat
4079,Democrat
4085,Republican
4086,Republican
4094,Republican
4095,Republican
4096,Democrat
4100,Democrat
4107,Democrat
4116,Republican
4118,Republican
4120,Democrat
4123,Democrat
4125,Republican
4130,Republican
4136,Republican
4137,Republican
4145,Democrat
4164,Democrat
4173,Republican
4175,Republican
4184,Democrat
4189,Democrat
4202,Republican
4204,Republican
4205,Republican
4207,Democrat
4209,Democrat
4216,Republican
4219,Democrat
4226,Republican
4230,Republican
4231,Republican
4235,Democrat
4243,Republican
4246,Republican
4249,Democrat
4255,Republican
4261,Republican
4262,Democrat
4274,Democrat
4275,Democrat
4277,Democrat
4279,Republican
4288,Democrat
4293,Republican
4302,Democrat
4307,Democrat
4309,Democrat
4316,Democrat
4317,Republican
4326,Republican
4329,Democrat
4331,Democrat
4332,Republican
4338,Republican
4346,Democrat
4351,Republican
4359,Republican
4362,Democrat
4366,Democrat
4368,Democrat
4375,Democrat
4377,Democrat
4387,Democrat
4388,Republican
4395,Democrat
4398,Republican
4401,Republican
4405,Democrat
4410,Republican
4413,Republican
4417,Republican
4425,Democrat
4428,Democrat
4435,Republican
4436,Republican
4441,Republican
4444,Republican
4454,Republican
4463,Republican
4471,Democrat
4475,Democrat
4481,Republican
4486,Republican
4490,Democrat
4493,Republican
4494,Democrat
4500,Democrat
4503,Republican
4518,Republican
4522,Republican
4527,Democrat
4532,Republican
4535,Republican
4541,Republican
4549,Democrat
4551,Republican
4557,Democrat
4559,Democrat
4562,Republican
4564,Republican
4566,Republican
4567,Republican
4568,Republican
4577,Democrat
4580,Democrat
4586,Democrat
4587,Democrat
4596,Democrat
4597,Republican
4611,Democrat
4625,Republican
4629,Democrat
4634,Democrat
4640,Republican
4644,Democrat
4646,Republican
4651,Republican
4655,Republican
4657,Republican
4663,Democrat
4666,Democrat
4669,Republican
4672,Republican
4676,Republican
4681,Democrat
4683,Republican
4720,Democrat
4724,Democrat
4725,Democrat
4729,Republican
4738,Republican
4739,Republican
4740,Democrat
4743,Republican
4745,Republican
4746,Republican
4751,Democrat
4763,Republican
4766,Democrat
4770,Democrat
4771,Republican
4778,Democrat
4786,Democrat
4788,Republican
4793,Democrat
4810,Democrat
4811,Democrat
4814,Republican
4820,Democrat
4821,Republican
4823,Republican
4829,Republican
4830,Democrat
4834,Democrat
4854,Democrat
4860,Republican
4868,Democrat
4873,Republican
4875,Democrat
4877,Democrat
4879,Democrat
4882,Democrat
4888,Democrat
4891,Republican
4893,Democrat
4899,Democrat
4902,Republican
4905,Republican
4906,Democrat
4917,Democrat
4920,Republican
4923,Democrat
4935,Democrat
4938,Democrat
4939,Republican
4950,Democrat
4960,Republican
4961,Democrat
4963,Democrat
4967,Democrat
4971,Democrat
4980,Republican
4991,Republican
4993,Democrat
4995,Democrat
5000,Republican
5002,Republican
5003,Democrat
5008,Republican
5011,Democrat
5021,Republican
5023,Democrat
5030,Democrat
5031,Democrat
5038,Democrat
5047,Democrat
5052,Democrat
5058,Republican
5059,Democrat
5060,Democrat
5062,Democrat
5067,Democrat
5072,Republican
5079,Republican
5080,Democrat
5081,Democrat
5084,Republican
5087,Republican
5093,Republican
5097,Republican
5098,Democrat
5104,Republican
5109,Republican
5122,Democrat
5130,Democrat
5131,Democrat
5134,Republican
5143,Democrat
5155,Republican
5156,Republican
5157,Republican
5169,Republican
5175,Democrat
5176,Republican
5177,Republican
5179,Democrat
5181,Democrat
5183,Republican
5191,Democrat
5200,Democrat
5204,Democrat
5209,Democrat
5215,Democrat
5217,Republican
5225,Republican
5227,Democrat
5246,Democrat
5254,Democrat
5255,Republican
5256,Democrat
5262,Democrat
5263,Democrat
5266,Republican
5269,Democrat
5270,Republican
5276,Democrat
5301,Democrat
5306,Democrat
5312,Republican
5313,Democrat
5322,Republican
5331,Republican
5332,Democrat
5333,Democrat
5335,Democrat
5339,Democrat
5342,Democrat
5343,Republican
5347,Republican
5349,Republican
5352,Republican
5353,Republican
5355,Democrat
5360,Democrat
5368,Democrat
5369,Democrat
5372,Republican
5375,Republican
5380,Republican
5386,Democrat
5389,Democrat
5391,Republican
5392,Democrat
5405,Democrat
5412,Democrat
5422,Democrat
5424,Republican
5427,Democrat
5430,Democrat
5434,Republican
5438,Democrat
5439,Democrat
5442,Republican
5447,Democrat
5454,Democrat
5473,Republican
5475,Democrat
5479,Republican
5481,Republican
5488,Republican
5514,Republican
5515,Democrat
5518,Democrat
5532,Democrat
5533,Democrat
5534,Democrat
5542,Democrat
5547,Republican
5550,Democrat
5558,Republican
5559,Republican
5560,Republican
5571,Democrat
5573,Democrat
5574,Republican
5576,Democrat
5577,Democrat
5581,Democrat
5585,Republican
5589,Democrat
5592,Republican
5599,Republican
5607,Democrat
5608,Republican
5617,Republican
5622,Democrat
5625,Democrat
5626,Republican
5636,Democrat
5643,Democrat
5645,Democrat
5648,Democrat
5649,Republican
5661,Republican
5662,Republican
5674,Republican
5679,Democrat
5687,Democrat
5689,Republican
5690,Republican
5699,Republican
5707,Republican
5712,Democrat
5713,Democrat
5717,Democrat
5725,Republican
5731,Democrat
5732,Republican
5743,Democrat
5745,Democrat
5747,Democrat
5748,Democrat
5750,Democrat
5751,Democrat
5768,Democrat
5773,Republican
5779,Democrat
5781,Democrat
5790,Democrat
5791,Republican
5798,Republican
5803,Democrat
5806,Republican
5807,Republican
5808,Democrat
5810,Democrat
5824,Democrat
5834,Democrat
5843,Republican
5844,Democrat
5847,Democrat
5852,Democrat
5861,Republican
5866,Democrat
5868,Republican
5877,Democrat
5880,Democrat
5883,Democrat
5884,Republican
5903,Democrat
5911,Republican
5912,Republican
5917,Republican
5924,Democrat
5933,Democrat
5934,Democrat
5941,Democrat
5948,Democrat
5955,Democrat
5958,Democrat
5960,Democrat
5963,Democrat
5965,Democrat
5970,Democrat
5972,Democrat
5974,Republican
5976,Democrat
5980,Republican
5983,Republican
5986,Republican
5990,Democrat
6000,Democrat
6006,Democrat
6016,Republican
6018,Republican
6020,Democrat
6023,Democrat
6024,Republican
6026,Republican
6028,Democrat
6033,Democrat
6035,Democrat
6041,Democrat
6054,Republican
6057,Democrat
6059,Democrat
6060,Republican
6064,Republican
6067,Republican
6071,Democrat
6074,Republican
6075,Republican
6077,Democrat
6087,Republican
6094,Republican
6104,Republican
6106,Democrat
6113,Republican
6115,Republican
6116,Democrat
6120,Democrat
6127,Republican
6143,Democrat
6150,Republican
6155,Democrat
6163,Republican
6167,Republican
6169,Democrat
6173,Republican
6174,Democrat
6185,Democrat
6188,Republican
6191,Republican
6192,Democrat
6195,Democrat
6201,Democrat
6208,Democrat
6213,Republican
6215,Democrat
6222,Democrat
6228,Democrat
6231,Republican
6233,Democrat
6235,Republican
6244,Democrat
6251,Democrat
6259,Democrat
6262,Republican
6263,Democrat
6268,Democrat
6272,Democrat
6278,Democrat
6285,Democrat
6287,Democrat
6291,Democrat
6300,Democrat
6302,Democrat
6305,Democrat
6316,Democrat
6337,Democrat
6344,Democrat
6346,Democrat
6348,Democrat
6356,Democrat
6360,Democrat
6369,Democrat
6375,Republican
6383,Democrat
6389,Democrat
6393,Democrat
6396,Democrat
6404,Democrat
6408,Republican
6410,Democrat
6416,Democrat
6425,Democrat
6428,Democrat
6431,Republican
6436,Democrat
6439,Democrat
6442,Democrat
6447,Republican
6449,Democrat
6457,Democrat
6468,Democrat
6470,Democrat
6474,Republican
6480,Democrat
6482,Democrat
6487,Democrat
6489,Democrat
6490,Republican
6521,Democrat
6529,Democrat
6534,Republican
6540,Democrat
6550,Democrat
6553,Democrat
6554,Democrat
6559,Democrat
6565,Democrat
6576,Democrat
6577,Democrat
6578,Democrat
6582,Democrat
6583,Democrat
6585,Democrat
6586,Democrat
6589,Democrat
6595,Democrat
6602,Democrat
6606,Democrat
6609,Democrat
6618,Democrat
6623,Democrat
6631,Republican
6633,Democrat
6634,Democrat
6639,Democrat
6640,Democrat
6645,Republican
6648,Democrat
6652,Republican
6655,Democrat
6662,Democrat
6666,Democrat
6667,Republican
6671,Democrat
6677,Democrat
6680,Democrat
6682,Democrat
6686,Democrat
6687,Democrat
6692,Democrat
6695,Democrat
6700,Democrat
6701,Democrat
6705,Democrat
6709,Democrat
6723,Democrat
6724,Democrat
6728,Democrat
6732,Democrat
6757,Democrat
6760,Democrat
6778,Democrat
6781,Democrat
6785,Democrat
6790,Democrat
6791,Democrat
6795,Democrat
6796,Democrat
6799,Democrat
6807,Democrat
6811,Democrat
6813,Democrat
6814,Democrat
6816,Democrat
6817,Democrat
6825,Democrat
6830,Democrat
6837,Democrat
6843,Republican
6844,Democrat
6845,Democrat
6848,Democrat
6852,Democrat
6859,Democrat
6860,Democrat
6864,Democrat
6865,Republican
6867,Democrat
6870,Democrat
6871,Democrat
6876,Democrat
6879,Democrat
6887,Democrat
6892,Democrat
6895,Democrat
6898,Democrat
6904,Democrat
6914,Democrat
6919,Democrat
6921,Democrat
6922,Democrat
6928,Democrat
6930,Democrat
6941,Democrat
6946,Democrat
6947,Democrat
