"word","present","len","vowels","consonants","nonletters"
"saraad",1,6,3,3,0
"furfuranol",0,10,4,6,0
"candings",0,8,2,6,0
"overbrutally",1,12,4,8,0
"ekwtvndvvqfdrvcx",0,16,1,15,0
"inordinary",1,10,4,6,0
"spelldom",0,8,2,6,0
"winetasting",1,11,4,7,0
"avlsfjibcep'otvjqoxj'i",0,22,6,16,2
"pholgiga",0,8,3,5,0
"overmeek",1,8,4,4,0
"kcodeatamuncifaveein",0,20,10,10,0
"anthargulogil",0,13,5,8,0
"scrubbly",1,8,1,7,0
"joverenimaloochery",0,18,8,10,0
"appalling",1,9,3,6,0
"insignment",1,10,3,7,0
"chakdar",1,7,2,5,0
"rhughtheffliplete",0,17,5,12,0
"kushfddum",0,9,2,7,0
"soria",0,5,3,2,0
"podsolizations",1,14,6,8,0
"nickelled",1,9,3,6,0
"cicuta",1,6,3,3,0
"samshu",1,6,2,4,0
"exemplified",1,11,5,6,0
"upbuoyance",1,10,5,5,0
"upgully",1,7,2,5,0
"hornblende",1,10,3,7,0
"bathmissis",0,10,3,7,0
"unpilloried",1,11,5,6,0
"polarography",1,12,4,8,0
"fdilsy''",0,8,1,7,2
"exhausters",1,10,4,6,0
"updownervouring",0,15,6,9,0
"metantimonic",1,12,5,7,0
"aguire",0,6,4,2,0
"ctenostomatic",0,13,5,8,0
"rnttwjrj'gmarilcjyllr",0,21,2,19,1
"sardanapallos",1,13,5,8,0
"crotaphytus",1,11,3,8,0
"urticates",1,9,4,5,0
"gecarcinus",1,10,4,6,0
"subsizars",1,9,3,6,0
"overtopping",1,11,4,7,0
"illampu",1,7,3,4,0
"unsanctioning",1,13,5,8,0
"masulas",1,7,3,4,0
"rephyls",0,7,1,6,0
"stiret",0,6,2,4,0
"apisa",0,5,3,2,0
"dyothelism",1,10,3,7,0
"colourlessness",1,14,5,9,0
"waliteoadrdotinis",0,17,8,9,0
"wigan",1,5,2,3,0
"rriocard",1,8,3,5,0
"sind",1,4,1,3,0
"undecenseal",0,11,5,6,0
"crizzle",1,7,2,5,0
"coptis",1,6,2,4,0
"mediastolically",0,15,6,9,0
"enfamous",1,8,4,4,0
"rockel",1,6,2,4,0
"ambisonic",1,9,4,5,0
"oxidises",1,8,4,4,0
"brassertations",0,14,5,9,0
"potentiodactylites",0,18,7,11,0
"dangerful",1,9,3,6,0
"mjfmbbllsed",0,11,1,10,0
"locarnite",1,9,4,5,0
"cspactitada",0,11,4,7,0
"piromongaly",0,11,4,7,0
"milliken",1,8,3,5,0
"scytonemataceae",1,15,7,8,0
"screet",1,6,2,4,0
"epanalepsis",1,11,5,6,0
"sarum",1,5,2,3,0
"munprenontormmas",0,16,5,11,0
"sanis",0,5,2,3,0
"togt",1,4,1,3,0
"kind",1,4,1,3,0
"georgics",1,8,3,5,0
"yatesboro",1,9,4,5,0
"compensorine",0,12,5,7,0
"dubnium",1,7,3,4,0
"tums",1,4,1,3,0
"koker",1,5,2,3,0
"qfuozrkahbxw",0,12,3,9,0
"vitics",0,6,2,4,0
"lll",0,3,0,3,0
"yankeeland",1,10,4,6,0
"sipunculoidea",1,13,7,6,0
"focsle",1,6,2,4,0
"purifiable",0,10,5,5,0
"enthusiastics",0,13,5,8,0
"bowtie",1,6,3,3,0
"denial",1,6,3,3,0
"achatinella",1,11,5,6,0
"oga",0,3,2,1,0
"slation",0,7,3,4,0
"sunnyme",0,7,2,5,0
"enranckles",1,10,3,7,0
"butyric",1,7,2,5,0
"keefferennsyllabicamaldant",0,26,9,17,0
"limpin",1,6,2,4,0
"yutivarissifiticrophypeters",0,27,10,17,0
"pyrophabiquisiantiwellenconises",0,31,13,18,0
"esselen",1,7,3,4,0
"cocatalyst",1,10,3,7,0
"platurous",1,9,4,5,0
"hbjj",0,4,0,4,0
"fibrinolysin",1,12,4,8,0
"dulaney",1,7,3,4,0
"iuzjhj",0,6,2,4,0
"naturisms",1,9,3,6,0
"bituminating",1,12,5,7,0
"matacan",1,7,3,4,0
"overope",0,7,4,3,0
"overealatinaffunistraing",0,24,11,13,0
"overrashly",1,10,3,7,0
"pkswwyyhuzcbeg",0,14,2,12,0
"goatskins",1,9,3,6,0
"scriptichokingbell",0,18,5,13,0
"trollopees",1,10,4,6,0
"upinarecracics",0,14,6,8,0
"econometrician",1,14,7,7,0
"hypermnesia",1,11,4,7,0
"soar",1,4,2,2,0
"hindoo",1,6,3,3,0
"fumeliornis",0,11,5,6,0
"retely",0,6,2,4,0
"lilid",0,5,2,3,0
"orchats",1,7,2,5,0
"ovaglyp",0,7,2,5,0
"wallahs",1,7,2,5,0
"gippy",1,5,1,4,0
"xmwmtzbpzdjnnlelyfonyntw'izf",0,28,3,25,1
"siaiophiter",0,11,6,5,0
"nonheritor",1,10,4,6,0
"hygiene",1,7,3,4,0
"outsaid",1,7,4,3,0
"cousinages",1,10,5,5,0
"lianoi",0,6,4,2,0
"shultz",1,6,1,5,0
"ryeflour",1,8,3,5,0
"ted",1,3,1,2,0
"rexane",1,6,3,3,0
"wormgear",1,8,3,5,0
"zwfbjjbkhou'",0,12,2,10,1
"litance",0,7,3,4,0
"zoug",1,4,2,2,0
"ellistical",0,10,4,6,0
"fiansmdsporiastrastacidirubgulacingen",0,37,14,23,0
"vervinae",0,8,4,4,0
"cakibstrete",0,11,4,7,0
"carmichael",1,10,4,6,0
"seyfert",1,7,2,5,0
"kailyairds",1,10,4,6,0
"country",1,7,2,5,0
"pipemouth",1,9,4,5,0
"venerator",1,9,4,5,0
"lifebuoy",1,8,4,4,0
"metrocolpotomy",0,14,5,9,0
"spiegering",0,10,4,6,0
"semegivace",0,10,5,5,0
"cytasters",1,9,2,7,0
"sutlerage",1,9,4,5,0
"unpolled",1,8,3,5,0
"hellespont",1,10,3,7,0
"linioriavericoeabationonngaichglitefecrgesayllstta",0,50,22,28,0
"subdues",1,7,3,4,0
"fusmiorul",0,9,4,5,0
"shessacomesoms",0,14,5,9,0
"didaenic",0,8,4,4,0
"nonresponsibilities",1,19,8,11,0
"subcivilized",1,12,5,7,0
"gezone",0,6,3,3,0
"nonant",0,6,2,4,0
"spewiest",1,8,3,5,0
"faroeish",1,8,4,4,0
"hodometers",1,10,4,6,0
"overishorterrymorkfus",0,21,7,14,0
"hutsonville",1,11,4,7,0
"bargues",0,7,3,4,0
"miswitchinaw",0,12,4,8,0
"proletaries",1,11,5,6,0
"literatocarthartic",0,18,7,11,0
"postverbal",1,10,3,7,0
"syriologist",1,11,4,7,0
"essenacts",0,9,3,6,0
"wanityouxiansidgheteglanguneg",0,29,12,17,0
"bactericidally",1,14,5,9,0
"haria",0,5,3,2,0
"sdally",0,6,1,5,0
"mattin",1,6,2,4,0
"eanling",1,7,3,4,0
"wass",0,4,1,3,0
"embattenberry",0,13,4,9,0
"tit",1,3,1,2,0
"oversefension",0,13,6,7,0
"legalizer",1,9,4,5,0
"headraigle",0,10,5,5,0
"uncented",0,8,3,5,0
"booleans",1,8,4,4,0
"serendipity",1,11,4,7,0
"wilisagwodensortitenessmits",0,27,10,17,0
"socius",1,6,3,3,0
"unthengedjances",0,15,5,10,0
"malleus",1,7,3,4,0
"unconcreted",1,11,4,7,0
"ichthyodorulites",1,16,6,10,0
"oga",0,3,2,1,0
"mustahfiz",1,9,3,6,0
"undisgraced",1,11,4,7,0
"monavenerasm",0,12,5,7,0
"cvaweqzuhsca",0,12,4,8,0
"pixphiemanetsurhy",0,17,6,11,0
"grewski",0,7,2,5,0
"holdfastness",1,12,3,9,0
"outwister",0,9,4,5,0
"carperter",0,9,3,6,0
"gothicising",1,11,4,7,0
"lattis",0,6,2,4,0
"bedic",0,5,2,3,0
"ss'",0,3,0,3,1
"dequeen",1,7,4,3,0
"lambert",1,7,2,5,0
"gl'yujg",0,7,1,6,1
"amelift",0,7,3,4,0
"bdcotxfmsp",0,10,1,9,0
"nallkondaridrangivarid",0,22,8,14,0
"moniterallsisescalm",0,19,7,12,0
"protatrant",0,10,3,7,0
"'yhvjbxdcvp",0,11,0,11,1
"storomycre",0,10,3,7,0
"boaexh",0,6,3,3,0
"implurientotypercompolites",0,26,10,16,0
"overapprehensive",1,16,7,9,0
"deuteragoniadin",0,15,8,7,0
"admissive",1,9,4,5,0
"brattishing",1,11,3,8,0
"hawkey",1,6,2,4,0
"inanimatingly",0,13,5,8,0
"leasure",0,7,4,3,0
"melanosomes",1,11,5,6,0
"alitorickbrinatsabil",0,20,8,12,0
"rejournment",0,11,4,7,0
"pretenesses",0,11,4,7,0
"papastrophicativerloatlewinloverb",0,33,13,20,0
"impreventilators",0,16,6,10,0
"andromorpha",0,11,4,7,0
"chronologising",1,14,5,9,0
"drencher",1,8,2,6,0
"tockereverdocumaloso",0,20,9,11,0
"inophin",0,7,3,4,0
"hinarfed",0,8,3,5,0
"dizing",0,6,2,4,0
"diamondback",1,11,4,7,0
"orthia",1,6,3,3,0
"gimcracism",0,10,3,7,0
"causcly",0,7,2,5,0
"qaddafi",1,7,3,4,0
"shromans",0,8,2,6,0
"prerestamphistic",0,16,5,11,0
"ranchlike",1,9,3,6,0
"jucoixmleyd",0,11,4,7,0
"adenological",1,12,6,6,0
"opposing",1,8,3,5,0
"hypostrophe",1,11,3,8,0
"saltires",1,8,3,5,0
"xrvckdyoecdakyfhwovnlsf'",0,24,4,20,1
"googa",0,5,3,2,0
"plbroodooed",0,11,5,6,0
"ideologician",0,12,7,5,0
"matheson",1,8,3,5,0
"balood",0,6,3,3,0
"saccoylends",0,11,3,8,0
"echittorner",0,11,4,7,0
"jba'vqndig",0,10,2,8,1
"chancement",0,10,3,7,0
"unswell",1,7,2,5,0
"frictional",1,10,4,6,0
"cium",0,4,2,2,0
"usv",1,3,1,2,0
"tarrassical",0,11,4,7,0
"reuchlin",1,8,3,5,0
"levitator",1,9,4,5,0
"barmits",0,7,2,5,0
"noned",0,5,2,3,0
"lyijmanig'",0,10,3,7,1
"duesemou",0,8,5,3,0
"nondeference",1,12,5,7,0
"iqesxjbeqvsuj",0,13,4,9,0
"mantoes",1,7,3,4,0
"hsingan",1,7,2,5,0
"feudalism",1,9,4,5,0
"treasures",1,9,4,5,0
"arrivism",1,8,3,5,0
"bratialloshery",0,14,5,9,0
"vicer",0,5,2,3,0
"welling",1,7,2,5,0
"rewall",1,6,2,4,0
"semihostiley",0,12,5,7,0
"oecantic",0,8,4,4,0
"dgmkvjpsjh'j'nwaojnyecf'xg",0,26,3,23,3
"turakoo",1,7,4,3,0
"deirdra",1,7,3,4,0
"nsec",1,4,1,3,0
"disposer",1,8,3,5,0
"blandform",0,9,2,7,0
"camearathyromass",0,16,6,10,0
"bcws",1,4,0,4,0
"pilobolus",1,9,4,5,0
"bearableness",0,12,5,7,0
"mantispa",1,8,3,5,0
"fluously",0,8,3,5,0
"ewery",1,5,2,3,0
"eddying",1,7,2,5,0
"muscatine",1,9,4,5,0
"decantates",1,10,4,6,0
"trentepohlia",1,12,5,7,0
"delwyn",1,6,1,5,0
"mouts",0,5,2,3,0
"unsystematical",1,14,5,9,0
"rsacopellalfeedftilllion",0,24,9,15,0
"precombination",1,14,6,8,0
"tgciegc",0,7,2,5,0
"flowerfence",1,11,4,7,0
"archcondurin",0,12,4,8,0
"christiania",1,11,5,6,0
"vintness",0,8,2,6,0
"mosed",1,5,2,3,0
"myelopa",0,7,3,4,0
"nnlm",0,4,0,4,0
"djectricorynger",0,15,4,11,0
"pozna",1,5,2,3,0
"panhedral",0,9,3,6,0
"unfishes",0,8,3,5,0
"dosseret",1,8,3,5,0
"swansboro",1,9,3,6,0
"legionnaires",1,12,6,6,0
"paconsparaglings",0,16,5,11,0
"ischi",0,5,2,3,0
"toxide",0,6,3,3,0
"euphonery",0,9,4,5,0
"schlute",0,7,2,5,0
"dephatzh",0,8,2,6,0
"okhltoixgwr'akxdqcfd",0,20,4,16,1
"tracheoscopist",1,14,5,9,0
"loyder",0,6,2,4,0
"fsehyimq'rjnhrrchaqhebvkazoxjw",0,30,6,24,1
"hyrhockessentiojeccid",0,21,7,14,0
"kotiant",0,7,3,4,0
"limmasol",1,8,3,5,0
"hyacintha",1,9,3,6,0
"boarding",1,8,3,5,0
"ununanimations",0,14,7,7,0
"kali",1,4,2,2,0
"gambetta",1,8,3,5,0
"omipet",0,6,3,3,0
"fernandia",0,9,4,5,0
"braun",1,5,2,3,0
"rbhwgimem",0,9,2,7,0
"sabelled",0,8,3,5,0
"qwhigbtghtefybcipilrps",0,22,4,18,0
"scralicheisheriagoromoun",0,24,11,13,0
"mulnercot",0,9,3,6,0
"ulruybtopnxtkexbrunljgr'cy",0,26,5,21,1
"omrjwhvyizf",0,11,2,9,0
"kelily",0,6,2,4,0
"countemultipollexed",0,19,8,11,0
"scjjxhxtadcptnnjbcyyappofdvl",0,28,3,25,0
"mussaenda",1,9,4,5,0
"unremitting",1,11,4,7,0
"isoimmunisations",1,16,8,8,0
"pulicene",1,8,4,4,0
"smoochiavelic",0,13,6,7,0
"carpwllidi",0,10,3,7,0
"pechoficiealet",0,14,7,7,0
"timnersiviess",0,13,5,8,0
"coccucrachrity",0,14,4,10,0
"moonrises",1,9,4,5,0
"interconnectibilities",0,21,9,12,0
"unbra",0,5,2,3,0
"familiarises",1,12,6,6,0
"telesis",1,7,3,4,0
"parados",1,7,3,4,0
"rpnaxradih'abog",0,15,5,10,1
"oathworm",0,8,3,5,0
"softback",1,8,2,6,0
"spottledgelisms",0,15,4,11,0
"neckguard",1,9,3,6,0
"jsuiopaxadmc'amnnzdihb",0,22,7,15,1
"brundous",0,8,3,5,0
"superwinglades",0,14,5,9,0
"tidion",0,6,3,3,0
"stewbum",1,7,2,5,0
"heteronymous",1,12,5,7,0
"pelosevonalireor",0,16,8,8,0
"gotching",0,8,2,6,0
"postponements",1,13,4,9,0
"woodpeckers",1,11,4,7,0
"awrtyrhizan",0,11,3,8,0
"acquiescences",1,13,6,7,0
"orlov",1,5,2,3,0
"sollar",1,6,2,4,0
"berdivellogran",0,14,5,9,0
"mlaga",1,5,2,3,0
"eckhart",1,7,2,5,0
"concrorichindamaledethy",0,23,8,15,0
"vavdv",0,5,1,4,0
"arioian",1,7,5,2,0
"xslnkqzytcjipnfut",0,17,2,15,0
"judi",1,4,2,2,0
"crenoptins",0,10,3,7,0
"dechbuchetier",0,13,5,8,0
"starmainteroka",0,14,6,8,0
"akity",0,5,2,3,0
"hippolyte",1,9,3,6,0
"zoogist",0,7,3,4,0
"naegated",0,8,4,4,0
"dountame",0,8,4,4,0
"sparassis",1,9,3,6,0
"unsplittable",1,12,4,8,0
"falter",1,6,2,4,0
"dollarwise",1,10,4,6,0
"voetsak",1,7,3,4,0
"karionty",0,8,3,5,0
"subtiller",0,9,3,6,0
"prejudicially",1,13,5,8,0
"cevesm",0,6,2,4,0
"nish",1,4,1,3,0
"comatroce",0,9,4,5,0
"hesperiid",1,9,4,5,0
"cuso",1,4,2,2,0
"hakenkreuze",1,11,5,6,0
"ounpeggs",0,8,3,5,0
"banter",1,6,2,4,0
"pevetangeve",0,11,5,6,0
"suggest",1,7,2,5,0
"celess",0,6,2,4,0
"terpsichore",1,11,4,7,0
"hazardless",1,10,3,7,0
"derachiotomocharityloper",0,24,10,14,0
"feltmongers",0,11,3,8,0
"interestingly",1,13,4,9,0
"crumb",1,5,1,4,0
"eodiscid",1,8,4,4,0
"benefacies",0,10,5,5,0
"citellum",0,8,3,5,0
"puericulture",1,12,6,6,0
"cefisphtayaereatourangan",0,24,11,13,0
"scrapper",1,8,2,6,0
"gedjf'eyb",0,9,2,7,1
"dissolutely",1,11,4,7,0
"unembossed",1,10,4,6,0
"shemu",1,5,2,3,0
"aca",0,3,2,1,0
"jerryman",0,8,2,6,0
"iderclbhei",0,10,4,6,0
"seatworks",1,9,3,6,0
"amphicarpa",1,10,4,6,0
"goance",0,6,3,3,0
"trocompaneer",0,12,5,7,0
"egyptians",1,9,3,6,0
"rewify",0,6,2,4,0
"conjuring",1,9,3,6,0
"subfeebe",0,8,4,4,0
"op",1,2,1,1,0
