word,present,len,vowels,consonants,nonletters,vtc
lyrism,1,6,1,5,0,0.2
polypnea,1,8,3,5,0,0.6
unliberally,1,11,4,7,0,0.571428571428571
mastoph,0,7,2,5,0,0.4
polonymy,0,8,2,6,0,0.333333333333333
monosubstitution,1,16,7,9,0,0.777777777777778
gly,0,3,0,3,0,0
preevaporating,1,14,6,8,0,0.75
spagyric,1,8,2,6,0,0.333333333333333
scavengement,0,12,4,8,0,0.5
sicilian,1,8,4,4,0,1
rerabstanicle,0,13,5,8,0,0.625
minesweepings,0,13,5,8,0,0.625
nagyvara,0,8,3,5,0,0.6
inbreaks,1,8,3,5,0,0.6
forbysening,1,11,3,8,0,0.375
biogenies,1,9,5,4,0,1.25
rvrtie,0,6,2,4,0,0.5
echicalic,0,9,4,5,0,0.8
lashkars,1,8,2,6,0,0.333333333333333
strated,0,7,2,5,0,0.4
nebaliacea,1,10,6,4,0,1.5
intramurally,1,12,4,8,0,0.5
zppvlsudzls,0,11,1,10,0,0.1
htiwwmzxslurzqpjmtedjqf,0,23,3,20,0,0.15
tric,0,4,1,3,0,0.333333333333333
chromoxylograph,0,15,4,11,0,0.363636363636364
saucerleaf,1,10,5,5,0,1
shidolor,0,8,3,5,0,0.6
apollonists,0,11,4,7,0,0.571428571428571
covelling,0,9,3,6,0,0.5
fullmouth,1,9,3,6,0,0.5
wnbpiuifyvdsoorbeq'imd,0,22,7,15,1,0.466666666666667
incontroller,0,12,4,8,0,0.5
gastrotrich,1,11,3,8,0,0.375
wgyejnqawcrpccbm''xtbatau,0,25,5,20,2,0.25
abbed,0,5,2,3,0,0.666666666666667
ronn,1,4,1,3,0,0.333333333333333
estranging,1,10,3,7,0,0.428571428571429
gons,1,4,1,3,0,0.333333333333333
gleason,1,7,3,4,0,0.75
smriti,1,6,2,4,0,0.5
tutizlahe,0,9,4,5,0,0.8
udolph,0,6,2,4,0,0.5
belton,1,6,2,4,0,0.5
atrikeromedopron,0,16,7,9,0,0.777777777777778
perist,0,6,2,4,0,0.5
audiometry,1,10,5,5,0,1
lne,0,3,1,2,0,0.5
cusseta,1,7,3,4,0,0.75
kinkinesses,1,11,4,7,0,0.571428571428571
stakhanovites,1,13,5,8,0,0.625
halocaudal,0,10,5,5,0,1
semibarbarian,1,13,6,7,0,0.857142857142857
matrial,0,7,3,4,0,0.75
u'fc'bxcxeqi,0,12,3,9,2,0.333333333333333
nny'whoarwxmfjfef,0,17,3,14,1,0.214285714285714
ramfeezletown,0,13,5,8,0,0.625
pairlee,0,7,4,3,0,1.33333333333333
hedlicyperesbly,0,15,4,11,0,0.363636363636364
hgp,0,3,0,3,0,0
seraphims,1,9,3,6,0,0.5
nonchemically,0,13,4,9,0,0.444444444444444
canler,0,6,2,4,0,0.5
resample,1,8,3,5,0,0.6
folksiest,1,9,3,6,0,0.5
chalmoluon,0,10,4,6,0,0.666666666666667
ganniellenial,0,13,6,7,0,0.857142857142857
courtlier,1,9,4,5,0,0.8
dismissal,1,9,3,6,0,0.5
kulun,1,5,2,3,0,0.666666666666667
veratrum,1,8,3,5,0,0.6
teletraspedote,0,14,6,8,0,0.75
reiter,1,6,3,3,0,1
asterophone,0,11,5,6,0,0.833333333333333
absvwksgfq,0,10,1,9,0,0.111111111111111
pannidyis,0,9,3,6,0,0.5
fectrin,0,7,2,5,0,0.4
bascepseing,0,11,4,7,0,0.571428571428571
neosho,1,6,3,3,0,1
manism,0,6,2,4,0,0.5
ramillie,1,8,4,4,0,1
hempseeds,1,9,3,6,0,0.5
caniser,0,7,3,4,0,0.75
ulmina,0,6,3,3,0,1
hemotic,0,7,3,4,0,0.75
goss,1,4,1,3,0,0.333333333333333
precreases,1,10,4,6,0,0.666666666666667
cfe'ijdv,0,8,2,6,1,0.333333333333333
conigdorargenicis,0,17,7,10,0,0.7
anoil,1,5,3,2,0,1.5
replicalnesses,0,14,5,9,0,0.555555555555556
nonscaling,1,10,3,7,0,0.428571428571429
mano,1,4,2,2,0,1
porcup,0,6,2,4,0,0.5
repheallart,0,11,4,7,0,0.571428571428571
homogenite,0,10,5,5,0,1
wot,0,3,1,2,0,0.5
ostracism,1,9,3,6,0,0.5
sphaeridium,1,11,5,6,0,0.833333333333333
predeficient,1,12,5,7,0,0.714285714285714
countercrowder,0,14,5,9,0,0.555555555555556
cordetinestionathaenglishy,0,26,10,16,0,0.625
chastisers,1,10,3,7,0,0.428571428571429
esonse,0,6,3,3,0,1
methodologists,1,14,5,9,0,0.555555555555556
funchestaxomatondel,0,19,7,12,0,0.583333333333333
idahoans,1,8,4,4,0,1
erophillers,0,11,4,7,0,0.571428571428571
cornix,1,6,2,4,0,0.5
phalaprolity,0,12,4,8,0,0.5
superhines,0,10,4,6,0,0.666666666666667
fistulated,1,10,4,6,0,0.666666666666667
sinehattiverrarpl,0,17,6,11,0,0.545454545454545
metepa,1,6,3,3,0,1
underthief,1,10,4,6,0,0.666666666666667
wzhgxpxwazlochu,0,15,3,12,0,0.25
guagmenting,0,11,4,7,0,0.571428571428571
mul,0,3,1,2,0,0.5
omnifical,0,9,4,5,0,0.8
curmudgeonery,1,13,5,8,0,0.625
sedimenta,0,9,4,5,0,0.8
paraphimosis,1,12,5,7,0,0.714285714285714
crudoon,0,7,3,4,0,0.75
rhynchophoran,1,13,3,10,0,0.3
autonomic,1,9,5,4,0,1.25
chonones,0,8,3,5,0,0.6
easters,1,7,3,4,0,0.75
'ltjouw,0,7,2,5,1,0.4
argutenberration,0,16,7,9,0,0.777777777777778
maurally,0,8,3,5,0,0.6
occipitofrontal,1,15,6,9,0,0.666666666666667
omy,0,3,1,2,0,0.5
brisgogherinano,0,15,6,9,0,0.666666666666667
myrian,0,6,2,4,0,0.5
palaeotropical,1,14,7,7,0,1
supercaptiously,0,15,6,9,0,0.666666666666667
skidpans,1,8,2,6,0,0.333333333333333
berdicus,0,8,3,5,0,0.6
neiygkytijwhxwlvodgrfsidth'tgp,0,30,5,25,1,0.2
h'eaeeweepmwmqgc,0,16,6,10,1,0.6
potence,1,7,3,4,0,0.75
phoris,0,6,2,4,0,0.5
ertyletuchteoloneg,0,18,7,11,0,0.636363636363636
heredolues,1,10,5,5,0,1
uukdvespori,0,11,5,6,0,0.833333333333333
changefulnesses,1,15,5,10,0,0.5
presupplementedly,0,17,5,12,0,0.416666666666667
brakiest,1,8,3,5,0,0.6
emulousness,1,11,5,6,0,0.833333333333333
idae,0,4,3,1,0,3
dissipatedness,1,14,5,9,0,0.555555555555556
symbol,1,6,1,5,0,0.2
faberga,1,7,3,4,0,0.75
afkugqkplqhkjs'xa,0,17,3,14,1,0.214285714285714
reith,1,5,2,3,0,0.666666666666667
oho,1,3,2,1,0,2
swadtealisalocaretic,0,20,9,11,0,0.818181818181818
macroprisms,1,11,3,8,0,0.375
chemosynthesis,1,14,4,10,0,0.4
urochordate,1,11,5,6,0,0.833333333333333
f'emkeqlnr,0,10,2,8,1,0.25
prefraniallydes,0,15,5,10,0,0.5
pseudoamatores,0,14,7,7,0,1
caprucigs,0,9,3,6,0,0.5
arooss,0,6,3,3,0,1
dhives,0,6,2,4,0,0.5
stingily,1,8,2,6,0,0.333333333333333
marmiditivrophts,0,16,5,11,0,0.454545454545455
maledertid,0,10,4,6,0,0.666666666666667
ualortteyamontcong,0,18,7,11,0,0.636363636363636
helicitic,1,9,4,5,0,0.8
pearlside,0,9,4,5,0,0.8
annihilobous,0,12,6,6,0,1
papayotin,1,9,4,5,0,0.8
rotinevetiesterierness,0,22,10,12,0,0.833333333333333
oudidestivinemichydralizatcleccist,0,34,13,21,0,0.619047619047619
antemingents,0,12,4,8,0,0.5
unconsuteness,0,13,5,8,0,0.625
hgalzlupzndvqjnycmllepkzvu,0,26,4,22,0,0.181818181818182
ferrosilicons,1,13,5,8,0,0.625
batteau,1,7,4,3,0,1.33333333333333
parfocality,1,11,4,7,0,0.571428571428571
improvement,1,11,4,7,0,0.571428571428571
neuropoda,0,9,5,4,0,1.25
babas,1,5,2,3,0,0.666666666666667
artgum,1,6,2,4,0,0.5
newcomer,1,8,3,5,0,0.6
polyglottally,1,13,3,10,0,0.3
testate,1,7,3,4,0,0.75
aclgjlg'libeg'zsoxtk,0,20,4,16,2,0.25
needles,1,7,3,4,0,0.75
atoshr,0,6,2,4,0,0.5
ophylaxes,0,9,3,6,0,0.5
sactiouzialetagrapanda,0,22,11,11,0,1
capmakers,1,9,3,6,0,0.5
deathbed,1,8,3,5,0,0.6
totz,1,4,1,3,0,0.333333333333333
escudos,1,7,3,4,0,0.75
anthropomatous,0,14,6,8,0,0.75
cheshvan,1,8,2,6,0,0.333333333333333
vixcufcxxx,0,10,2,8,0,0.25
datographotottlee,0,17,7,10,0,0.7
lexicologist,1,12,5,7,0,0.714285714285714
paperiness,1,10,4,6,0,0.666666666666667
iain,1,4,3,1,0,3
ampyx,1,5,1,4,0,0.25
rmxftqksvtd'rt,0,14,0,14,1,0
enthusiasts,1,11,4,7,0,0.571428571428571
darns,1,5,1,4,0,0.25
racerunner,1,10,4,6,0,0.666666666666667
quet,1,4,2,2,0,1
chloramines,1,11,4,7,0,0.571428571428571
subcarinated,1,12,5,7,0,0.714285714285714
hounskull,1,9,3,6,0,0.5
edmonda,1,7,3,4,0,0.75
corbett,1,7,2,5,0,0.4
udszm,0,5,1,4,0,0.25
cumbeat,0,7,3,4,0,0.75
andochomerinotor,0,16,7,9,0,0.777777777777778
bacteriaceae,1,12,7,5,0,1.4
muncies,0,7,3,4,0,0.75
lachenalia,1,10,5,5,0,1
gunports,1,8,2,6,0,0.333333333333333
bearnaise,1,9,5,4,0,1.25
gophan,0,6,2,4,0,0.5
pgnkfwdakxaznopnty',0,19,3,16,1,0.1875
citruthititis,0,13,5,8,0,0.625
staphylosis,1,11,3,8,0,0.375
okrasianism,0,11,5,6,0,0.833333333333333
tarumari,1,8,4,4,0,1
fertilia,0,8,4,4,0,1
cordello,0,8,3,5,0,0.6
icac,0,4,2,2,0,1
poema,0,5,3,2,0,1.5
sexferd,0,7,2,5,0,0.4
silverwares,1,11,4,7,0,0.571428571428571
jacque,1,6,3,3,0,1
mormmman,0,8,2,6,0,0.333333333333333
piassaba,1,8,4,4,0,1
drinkables,1,10,3,7,0,0.428571428571429
hootananny,1,10,4,6,0,0.666666666666667
gabblement,1,10,3,7,0,0.428571428571429
unsellable,1,10,4,6,0,0.666666666666667
fensition,0,9,4,5,0,0.8
eslyxsg'nt,0,10,1,9,1,0.111111111111111
exed,1,4,2,2,0,1
arowhertephe,0,12,5,7,0,0.714285714285714
sidestreet,1,10,4,6,0,0.666666666666667
hikers,1,6,2,4,0,0.5
flat,1,4,1,3,0,0.333333333333333
mimictimelides,0,14,6,8,0,0.75
decantigationid,0,15,7,8,0,0.875
logitopr,0,8,3,5,0,0.6
polky,1,5,1,4,0,0.25
superiors,1,9,4,5,0,0.8
orlander,0,8,3,5,0,0.6
doctrinarian,1,12,5,7,0,0.714285714285714
conspissate,1,11,4,7,0,0.571428571428571
lontar,1,6,2,4,0,0.5
rhizodus,1,8,3,5,0,0.6
phliolly,0,8,2,6,0,0.333333333333333
superfish,0,9,3,6,0,0.5
ynjcypmzipfegc,0,14,2,12,0,0.166666666666667
undocumentedness,1,16,6,10,0,0.6
glideness,1,9,3,6,0,0.5
gobrancive,0,10,4,6,0,0.666666666666667
evisite,1,7,4,3,0,1.33333333333333
igusdmue'qhk'px,0,15,4,11,2,0.363636363636364
astoide,0,7,4,3,0,1.33333333333333
macroanalytical,1,15,6,9,0,0.666666666666667
oversteadfasts,0,14,5,9,0,0.555555555555556
spd,1,3,0,3,0,0
gulfport,1,8,2,6,0,0.333333333333333
emarginally,0,11,4,7,0,0.571428571428571
saraad,1,6,3,3,0,1
furfuranol,0,10,4,6,0,0.666666666666667
candings,0,8,2,6,0,0.333333333333333
overbrutally,1,12,4,8,0,0.5
ekwtvndvvqfdrvcx,0,16,1,15,0,0.0666666666666667
inordinary,1,10,4,6,0,0.666666666666667
spelldom,0,8,2,6,0,0.333333333333333
winetasting,1,11,4,7,0,0.571428571428571
avlsfjibcep'otvjqoxj'i,0,22,6,16,2,0.375
pholgiga,0,8,3,5,0,0.6
overmeek,1,8,4,4,0,1
kcodeatamuncifaveein,0,20,10,10,0,1
anthargulogil,0,13,5,8,0,0.625
scrubbly,1,8,1,7,0,0.142857142857143
joverenimaloochery,0,18,8,10,0,0.8
appalling,1,9,3,6,0,0.5
insignment,1,10,3,7,0,0.428571428571429
chakdar,1,7,2,5,0,0.4
rhughtheffliplete,0,17,5,12,0,0.416666666666667
kushfddum,0,9,2,7,0,0.285714285714286
soria,0,5,3,2,0,1.5
podsolizations,1,14,6,8,0,0.75
nickelled,1,9,3,6,0,0.5
cicuta,1,6,3,3,0,1
samshu,1,6,2,4,0,0.5
exemplified,1,11,5,6,0,0.833333333333333
upbuoyance,1,10,5,5,0,1
upgully,1,7,2,5,0,0.4
hornblende,1,10,3,7,0,0.428571428571429
bathmissis,0,10,3,7,0,0.428571428571429
unpilloried,1,11,5,6,0,0.833333333333333
polarography,1,12,4,8,0,0.5
fdilsy'',0,8,1,7,2,0.142857142857143
exhausters,1,10,4,6,0,0.666666666666667
updownervouring,0,15,6,9,0,0.666666666666667
metantimonic,1,12,5,7,0,0.714285714285714
aguire,0,6,4,2,0,2
ctenostomatic,0,13,5,8,0,0.625
rnttwjrj'gmarilcjyllr,0,21,2,19,1,0.105263157894737
sardanapallos,1,13,5,8,0,0.625
crotaphytus,1,11,3,8,0,0.375
urticates,1,9,4,5,0,0.8
gecarcinus,1,10,4,6,0,0.666666666666667
subsizars,1,9,3,6,0,0.5
overtopping,1,11,4,7,0,0.571428571428571
illampu,1,7,3,4,0,0.75
unsanctioning,1,13,5,8,0,0.625
masulas,1,7,3,4,0,0.75
rephyls,0,7,1,6,0,0.166666666666667
stiret,0,6,2,4,0,0.5
apisa,0,5,3,2,0,1.5
dyothelism,1,10,3,7,0,0.428571428571429
colourlessness,1,14,5,9,0,0.555555555555556
waliteoadrdotinis,0,17,8,9,0,0.888888888888889
wigan,1,5,2,3,0,0.666666666666667
rriocard,1,8,3,5,0,0.6
sind,1,4,1,3,0,0.333333333333333
undecenseal,0,11,5,6,0,0.833333333333333
crizzle,1,7,2,5,0,0.4
coptis,1,6,2,4,0,0.5
mediastolically,0,15,6,9,0,0.666666666666667
enfamous,1,8,4,4,0,1
rockel,1,6,2,4,0,0.5
ambisonic,1,9,4,5,0,0.8
oxidises,1,8,4,4,0,1
brassertations,0,14,5,9,0,0.555555555555556
potentiodactylites,0,18,7,11,0,0.636363636363636
dangerful,1,9,3,6,0,0.5
mjfmbbllsed,0,11,1,10,0,0.1
locarnite,1,9,4,5,0,0.8
cspactitada,0,11,4,7,0,0.571428571428571
piromongaly,0,11,4,7,0,0.571428571428571
milliken,1,8,3,5,0,0.6
scytonemataceae,1,15,7,8,0,0.875
screet,1,6,2,4,0,0.5
epanalepsis,1,11,5,6,0,0.833333333333333
sarum,1,5,2,3,0,0.666666666666667
munprenontormmas,0,16,5,11,0,0.454545454545455
sanis,0,5,2,3,0,0.666666666666667
togt,1,4,1,3,0,0.333333333333333
kind,1,4,1,3,0,0.333333333333333
georgics,1,8,3,5,0,0.6
yatesboro,1,9,4,5,0,0.8
compensorine,0,12,5,7,0,0.714285714285714
dubnium,1,7,3,4,0,0.75
tums,1,4,1,3,0,0.333333333333333
koker,1,5,2,3,0,0.666666666666667
qfuozrkahbxw,0,12,3,9,0,0.333333333333333
vitics,0,6,2,4,0,0.5
lll,0,3,0,3,0,0
yankeeland,1,10,4,6,0,0.666666666666667
sipunculoidea,1,13,7,6,0,1.16666666666667
focsle,1,6,2,4,0,0.5
purifiable,0,10,5,5,0,1
enthusiastics,0,13,5,8,0,0.625
bowtie,1,6,3,3,0,1
denial,1,6,3,3,0,1
achatinella,1,11,5,6,0,0.833333333333333
oga,0,3,2,1,0,2
slation,0,7,3,4,0,0.75
sunnyme,0,7,2,5,0,0.4
enranckles,1,10,3,7,0,0.428571428571429
butyric,1,7,2,5,0,0.4
keefferennsyllabicamaldant,0,26,9,17,0,0.529411764705882
limpin,1,6,2,4,0,0.5
yutivarissifiticrophypeters,0,27,10,17,0,0.588235294117647
pyrophabiquisiantiwellenconises,0,31,13,18,0,0.722222222222222
esselen,1,7,3,4,0,0.75
cocatalyst,1,10,3,7,0,0.428571428571429
platurous,1,9,4,5,0,0.8
hbjj,0,4,0,4,0,0
fibrinolysin,1,12,4,8,0,0.5
dulaney,1,7,3,4,0,0.75
iuzjhj,0,6,2,4,0,0.5
naturisms,1,9,3,6,0,0.5
bituminating,1,12,5,7,0,0.714285714285714
matacan,1,7,3,4,0,0.75
overope,0,7,4,3,0,1.33333333333333
overealatinaffunistraing,0,24,11,13,0,0.846153846153846
overrashly,1,10,3,7,0,0.428571428571429
pkswwyyhuzcbeg,0,14,2,12,0,0.166666666666667
goatskins,1,9,3,6,0,0.5
scriptichokingbell,0,18,5,13,0,0.384615384615385
trollopees,1,10,4,6,0,0.666666666666667
upinarecracics,0,14,6,8,0,0.75
econometrician,1,14,7,7,0,1
hypermnesia,1,11,4,7,0,0.571428571428571
soar,1,4,2,2,0,1
hindoo,1,6,3,3,0,1
fumeliornis,0,11,5,6,0,0.833333333333333
retely,0,6,2,4,0,0.5
lilid,0,5,2,3,0,0.666666666666667
orchats,1,7,2,5,0,0.4
ovaglyp,0,7,2,5,0,0.4
wallahs,1,7,2,5,0,0.4
gippy,1,5,1,4,0,0.25
xmwmtzbpzdjnnlelyfonyntw'izf,0,28,3,25,1,0.12
siaiophiter,0,11,6,5,0,1.2
nonheritor,1,10,4,6,0,0.666666666666667
hygiene,1,7,3,4,0,0.75
outsaid,1,7,4,3,0,1.33333333333333
cousinages,1,10,5,5,0,1
lianoi,0,6,4,2,0,2
shultz,1,6,1,5,0,0.2
ryeflour,1,8,3,5,0,0.6
ted,1,3,1,2,0,0.5
rexane,1,6,3,3,0,1
wormgear,1,8,3,5,0,0.6
zwfbjjbkhou',0,12,2,10,1,0.2
litance,0,7,3,4,0,0.75
zoug,1,4,2,2,0,1
ellistical,0,10,4,6,0,0.666666666666667
fiansmdsporiastrastacidirubgulacingen,0,37,14,23,0,0.608695652173913
vervinae,0,8,4,4,0,1
cakibstrete,0,11,4,7,0,0.571428571428571
carmichael,1,10,4,6,0,0.666666666666667
seyfert,1,7,2,5,0,0.4
kailyairds,1,10,4,6,0,0.666666666666667
country,1,7,2,5,0,0.4
pipemouth,1,9,4,5,0,0.8
venerator,1,9,4,5,0,0.8
lifebuoy,1,8,4,4,0,1
metrocolpotomy,0,14,5,9,0,0.555555555555556
spiegering,0,10,4,6,0,0.666666666666667
semegivace,0,10,5,5,0,1
cytasters,1,9,2,7,0,0.285714285714286
sutlerage,1,9,4,5,0,0.8
unpolled,1,8,3,5,0,0.6
hellespont,1,10,3,7,0,0.428571428571429
linioriavericoeabationonngaichglitefecrgesayllstta,0,50,22,28,0,0.785714285714286
subdues,1,7,3,4,0,0.75
fusmiorul,0,9,4,5,0,0.8
shessacomesoms,0,14,5,9,0,0.555555555555556
didaenic,0,8,4,4,0,1
nonresponsibilities,1,19,8,11,0,0.727272727272727
subcivilized,1,12,5,7,0,0.714285714285714
gezone,0,6,3,3,0,1
nonant,0,6,2,4,0,0.5
spewiest,1,8,3,5,0,0.6
faroeish,1,8,4,4,0,1
hodometers,1,10,4,6,0,0.666666666666667
overishorterrymorkfus,0,21,7,14,0,0.5
hutsonville,1,11,4,7,0,0.571428571428571
bargues,0,7,3,4,0,0.75
miswitchinaw,0,12,4,8,0,0.5
proletaries,1,11,5,6,0,0.833333333333333
literatocarthartic,0,18,7,11,0,0.636363636363636
postverbal,1,10,3,7,0,0.428571428571429
syriologist,1,11,4,7,0,0.571428571428571
essenacts,0,9,3,6,0,0.5
wanityouxiansidgheteglanguneg,0,29,12,17,0,0.705882352941177
bactericidally,1,14,5,9,0,0.555555555555556
haria,0,5,3,2,0,1.5
sdally,0,6,1,5,0,0.2
mattin,1,6,2,4,0,0.5
eanling,1,7,3,4,0,0.75
wass,0,4,1,3,0,0.333333333333333
embattenberry,0,13,4,9,0,0.444444444444444
tit,1,3,1,2,0,0.5
oversefension,0,13,6,7,0,0.857142857142857
legalizer,1,9,4,5,0,0.8
headraigle,0,10,5,5,0,1
uncented,0,8,3,5,0,0.6
booleans,1,8,4,4,0,1
serendipity,1,11,4,7,0,0.571428571428571
wilisagwodensortitenessmits,0,27,10,17,0,0.588235294117647
socius,1,6,3,3,0,1
unthengedjances,0,15,5,10,0,0.5
malleus,1,7,3,4,0,0.75
unconcreted,1,11,4,7,0,0.571428571428571
ichthyodorulites,1,16,6,10,0,0.6
oga,0,3,2,1,0,2
mustahfiz,1,9,3,6,0,0.5
undisgraced,1,11,4,7,0,0.571428571428571
monavenerasm,0,12,5,7,0,0.714285714285714
cvaweqzuhsca,0,12,4,8,0,0.5
pixphiemanetsurhy,0,17,6,11,0,0.545454545454545
grewski,0,7,2,5,0,0.4
holdfastness,1,12,3,9,0,0.333333333333333
outwister,0,9,4,5,0,0.8
carperter,0,9,3,6,0,0.5
gothicising,1,11,4,7,0,0.571428571428571
lattis,0,6,2,4,0,0.5
bedic,0,5,2,3,0,0.666666666666667
ss',0,3,0,3,1,0
dequeen,1,7,4,3,0,1.33333333333333
lambert,1,7,2,5,0,0.4
gl'yujg,0,7,1,6,1,0.166666666666667
amelift,0,7,3,4,0,0.75
bdcotxfmsp,0,10,1,9,0,0.111111111111111
nallkondaridrangivarid,0,22,8,14,0,0.571428571428571
moniterallsisescalm,0,19,7,12,0,0.583333333333333
protatrant,0,10,3,7,0,0.428571428571429
'yhvjbxdcvp,0,11,0,11,1,0
storomycre,0,10,3,7,0,0.428571428571429
boaexh,0,6,3,3,0,1
implurientotypercompolites,0,26,10,16,0,0.625
overapprehensive,1,16,7,9,0,0.777777777777778
deuteragoniadin,0,15,8,7,0,1.14285714285714
admissive,1,9,4,5,0,0.8
brattishing,1,11,3,8,0,0.375
hawkey,1,6,2,4,0,0.5
inanimatingly,0,13,5,8,0,0.625
leasure,0,7,4,3,0,1.33333333333333
melanosomes,1,11,5,6,0,0.833333333333333
alitorickbrinatsabil,0,20,8,12,0,0.666666666666667
rejournment,0,11,4,7,0,0.571428571428571
pretenesses,0,11,4,7,0,0.571428571428571
papastrophicativerloatlewinloverb,0,33,13,20,0,0.65
impreventilators,0,16,6,10,0,0.6
andromorpha,0,11,4,7,0,0.571428571428571
chronologising,1,14,5,9,0,0.555555555555556
drencher,1,8,2,6,0,0.333333333333333
tockereverdocumaloso,0,20,9,11,0,0.818181818181818
inophin,0,7,3,4,0,0.75
hinarfed,0,8,3,5,0,0.6
dizing,0,6,2,4,0,0.5
diamondback,1,11,4,7,0,0.571428571428571
orthia,1,6,3,3,0,1
gimcracism,0,10,3,7,0,0.428571428571429
causcly,0,7,2,5,0,0.4
qaddafi,1,7,3,4,0,0.75
shromans,0,8,2,6,0,0.333333333333333
prerestamphistic,0,16,5,11,0,0.454545454545455
ranchlike,1,9,3,6,0,0.5
jucoixmleyd,0,11,4,7,0,0.571428571428571
adenological,1,12,6,6,0,1
opposing,1,8,3,5,0,0.6
hypostrophe,1,11,3,8,0,0.375
saltires,1,8,3,5,0,0.6
xrvckdyoecdakyfhwovnlsf',0,24,4,20,1,0.2
googa,0,5,3,2,0,1.5
plbroodooed,0,11,5,6,0,0.833333333333333
ideologician,0,12,7,5,0,1.4
matheson,1,8,3,5,0,0.6
balood,0,6,3,3,0,1
saccoylends,0,11,3,8,0,0.375
echittorner,0,11,4,7,0,0.571428571428571
jba'vqndig,0,10,2,8,1,0.25
chancement,0,10,3,7,0,0.428571428571429
unswell,1,7,2,5,0,0.4
frictional,1,10,4,6,0,0.666666666666667
cium,0,4,2,2,0,1
usv,1,3,1,2,0,0.5
tarrassical,0,11,4,7,0,0.571428571428571
reuchlin,1,8,3,5,0,0.6
levitator,1,9,4,5,0,0.8
barmits,0,7,2,5,0,0.4
noned,0,5,2,3,0,0.666666666666667
lyijmanig',0,10,3,7,1,0.428571428571429
duesemou,0,8,5,3,0,1.66666666666667
nondeference,1,12,5,7,0,0.714285714285714
iqesxjbeqvsuj,0,13,4,9,0,0.444444444444444
mantoes,1,7,3,4,0,0.75
hsingan,1,7,2,5,0,0.4
feudalism,1,9,4,5,0,0.8
treasures,1,9,4,5,0,0.8
arrivism,1,8,3,5,0,0.6
bratialloshery,0,14,5,9,0,0.555555555555556
vicer,0,5,2,3,0,0.666666666666667
welling,1,7,2,5,0,0.4
rewall,1,6,2,4,0,0.5
